Running single thread with 1 workers
finished   (0-0:0) [] [ '0', '1' ]
finished   (1-0:0) [] [ '1', '0' ]
finished   (1-1:0) [] [ '1', '0' ]
finished   (2-0:0) [] [ '2', '0' ]
finished   (1-2:0) [] [ '1', '2' ]
finished   (1-3:0) [] [ '1', '0' ]
finished   (2-1:0) [] [ '2', '0' ]
finished   (3-0:0) [] [ '3', '2' ]
finished   (1-4:0) [] [ '1', '3' ]
finished   (3-1:0) [] [ '3', '0' ]
finished   (1-5:0) [] [ '1', '0' ]
backtrack21 (2-2:0) [ '2' ] [ '0' ]
finished   (2-2:1) [] [ '2', '1' ]
finished   (4-0:0) [] [ '4', '5' ]
finished   (2-3:0) [] [ '2', '1' ]
finished   (4-1:0) [] [ '4', '2' ]
finished   (6-0:0) [] [ '6', '7' ]
finished   (8-0:0) [] [ '8', '2' ]
finished   (9-0:0) [] [ '9', '10' ]
finished   (11-0:0) [] [ '11', '5' ]
finished   (12-0:0) [] [ '12', '10' ]
finished   (11-1:0) [] [ '11', '1' ]
finished   (12-1:0) [] [ '12', '13' ]
finished   (14-0:0) [] [ '14', '15' ]
finished   (9-1:0) [] [ '9', '13' ]
finished   (16-0:0) [] [ '16', '17' ]
finished   (18-0:0) [] [ '18', '19' ]
finished   (20-0:0) [] [ '20', '21' ]
finished   (22-0:0) [] [ '22', '23' ]
finished   (1-6:0) [] [ '1', '11' ]
finished   (24-0:0) [] [ '24', '25' ]
finished   (5-0:0) [] [ '5', '26' ]
finished   (27-0:0) [] [ '27', '23' ]
finished   (28-0:0) [] [ '28', '29' ]
finished   (30-0:0) [] [ '30', '4' ]
finished   (31-0:0) [] [ '31', '32' ]
finished   (33-0:0) [] [ '33', '34' ]
finished   (35-0:0) [] [ '35', '18' ]
finished   (36-0:0) [] [ '36', '18' ]
finished   (37-0:0) [] [ '37', '38' ]
finished   (39-0:0) [] [ '39', '40' ]
finished   (41-0:0) [] [ '41', '40' ]
finished   (42-0:0) [] [ '42', '40' ]
finished   (39-1:0) [] [ '39', '40' ]
finished   (43-0:0) [] [ '43', '40' ]
finished   (44-0:0) [] [ '44', '45' ]
finished   (46-0:0) [] [ '46', '47' ]
finished   (48-0:0) [] [ '48', '49' ]
finished   (50-0:0) [] [ '50', '45' ]
finished   (51-0:0) [] [ '51', '40' ]
finished   (52-0:0) [] [ '52', '40' ]
finished   (53-0:0) [] [ '53', '40' ]
